Platform,Currency,Date,Deposit/Outpayment,Investments,Redemption payments,Interest payments,Total income
DoFinance,EUR,2018-03-18,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-03-19,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-03-20,0.0,-170.0,170.0,0.0,0.0
DoFinance,EUR,2018-03-21,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-03-22,0.0,-130.0,130.0,0.0,0.0
DoFinance,EUR,2018-03-23,0.0,-350.0,350.0,0.0,0.0
DoFinance,EUR,2018-03-24,0.0,-270.0,270.0,0.0,0.0
DoFinance,EUR,2018-03-25,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-03-26,0.0,-50.0,50.0,0.0,0.0
DoFinance,EUR,2018-03-27,0.0,-410.0,410.0,0.0,0.0
DoFinance,EUR,2018-03-28,0.0,-170.0,170.0,0.0,0.0
DoFinance,EUR,2018-03-29,0.0,-400.0,400.0,0.0,0.0
DoFinance,EUR,2018-03-30,0.0,-200.0,200.0,0.0,0.0
DoFinance,EUR,2018-03-31,0.0,-110.0,110.0,0.0,0.0
DoFinance,EUR,2018-04-01,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-04-02,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-04-03,0.0,-10.0,210.0,0.0,0.0
DoFinance,EUR,2018-04-04,0.0,-280.0,80.0,0.0,0.0
DoFinance,EUR,2018-04-05,0.0,-70.0,70.0,0.0,0.0
DoFinance,EUR,2018-04-06,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-04-07,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-04-08,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-04-09,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-04-10,0.0,-100.0,100.0,0.0,0.0
DoFinance,EUR,2018-04-11,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-04-12,0.0,-70.0,120.0,0.0,0.0
DoFinance,EUR,2018-04-13,0.0,-120.0,70.0,0.0,0.0
DoFinance,EUR,2018-04-14,0.0,-70.0,70.0,0.0,0.0
DoFinance,EUR,2018-04-15,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-04-16,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-04-17,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-04-18,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-04-19,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-04-20,0.0,-150.0,150.0,0.0,0.0
DoFinance,EUR,2018-04-21,0.0,-170.0,170.0,0.0,0.0
DoFinance,EUR,2018-04-22,0.0,-40.0,40.0,0.0,0.0
DoFinance,EUR,2018-04-23,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-04-24,0.0,-160.0,160.0,0.0,0.0
DoFinance,EUR,2018-04-25,0.0,-150.0,150.0,0.0,0.0
DoFinance,EUR,2018-04-26,0.0,-230.0,230.0,0.0,0.0
DoFinance,EUR,2018-04-27,0.0,-220.0,220.0,0.0,0.0
DoFinance,EUR,2018-04-28,0.0,-190.0,190.0,0.0,0.0
DoFinance,EUR,2018-04-29,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-04-30,0.0,-130.0,130.0,0.0,0.0
DoFinance,EUR,2018-05-01,0.0,-230.0,230.0,0.0,0.0
DoFinance,EUR,2018-05-02,0.0,-150.0,150.0,0.0,0.0
DoFinance,EUR,2018-05-03,0.0,-140.0,140.0,0.0,0.0
DoFinance,EUR,2018-05-04,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-05-05,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-05-08,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-05-09,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-05-10,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-05-11,0.0,-70.0,70.0,0.0,0.0
DoFinance,EUR,2018-05-12,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-05-13,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-05-14,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-05-15,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-05-16,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-05-17,0.0,-70.0,70.0,0.0,0.0
DoFinance,EUR,2018-05-18,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-05-19,0.0,-130.0,130.0,0.0,0.0
DoFinance,EUR,2018-05-20,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-05-21,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-05-22,0.0,-170.0,170.0,0.0,0.0
DoFinance,EUR,2018-05-23,0.0,-190.0,190.0,0.0,0.0
DoFinance,EUR,2018-05-24,0.0,-180.0,180.0,0.0,0.0
DoFinance,EUR,2018-05-25,0.0,-140.0,140.0,0.0,0.0
DoFinance,EUR,2018-05-26,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-05-27,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-05-28,0.0,-50.0,50.0,0.0,0.0
DoFinance,EUR,2018-05-29,0.0,-160.0,160.0,0.0,0.0
DoFinance,EUR,2018-05-30,0.0,-170.0,170.0,0.0,0.0
DoFinance,EUR,2018-05-31,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-06-02,0.0,-170.0,170.0,0.0,0.0
DoFinance,EUR,2018-06-03,0.0,0.0,20.0,0.0,0.0
DoFinance,EUR,2018-06-04,0.0,-30.0,10.0,0.0,0.0
DoFinance,EUR,2018-06-05,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-06-06,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-06-07,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-06-08,0.0,-140.0,140.0,0.0,0.0
DoFinance,EUR,2018-06-09,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-06-10,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-06-11,0.0,-40.0,40.0,0.0,0.0
DoFinance,EUR,2018-06-12,0.0,-150.0,150.0,0.0,0.0
DoFinance,EUR,2018-06-13,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-06-14,0.0,-90.0,90.0,0.0,0.0
DoFinance,EUR,2018-06-15,0.0,-150.0,150.0,0.0,0.0
DoFinance,EUR,2018-06-16,0.0,-140.0,140.0,0.0,0.0
DoFinance,EUR,2018-06-17,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-06-18,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-06-19,0.0,-130.0,130.0,0.0,0.0
DoFinance,EUR,2018-06-20,0.0,-150.0,150.0,0.0,0.0
DoFinance,EUR,2018-06-21,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-06-22,0.0,-150.0,150.0,0.0,0.0
DoFinance,EUR,2018-06-23,0.0,-210.0,210.0,0.0,0.0
DoFinance,EUR,2018-06-24,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-06-25,0.0,-40.0,40.0,0.0,0.0
DoFinance,EUR,2018-06-26,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-06-27,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-06-28,0.0,-190.0,190.0,0.0,0.0
DoFinance,EUR,2018-06-29,0.0,-130.0,130.0,0.0,0.0
DoFinance,EUR,2018-06-30,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-07-01,0.0,0.0,30.0,0.0,0.0
DoFinance,EUR,2018-07-02,0.0,-50.0,30.0,0.0,0.0
DoFinance,EUR,2018-07-03,0.0,-90.0,80.0,0.0,0.0
DoFinance,EUR,2018-07-04,0.0,-50.0,50.0,0.0,0.0
DoFinance,EUR,2018-07-05,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-07-06,0.0,-70.0,70.0,0.0,0.0
DoFinance,EUR,2018-07-07,0.0,0.0,70.0,0.0,0.0
DoFinance,EUR,2018-07-08,0.0,0.0,40.0,0.0,0.0
DoFinance,EUR,2018-07-09,0.0,0.0,20.0,0.0,0.0
DoFinance,EUR,2018-07-10,0.0,0.0,100.0,0.0,0.0
DoFinance,EUR,2018-07-11,0.0,-100.0,60.0,0.0,0.0
DoFinance,EUR,2018-07-12,0.0,-40.0,80.0,0.0,0.0
DoFinance,EUR,2018-07-13,0.0,-300.0,70.0,0.0,0.0
DoFinance,EUR,2018-07-14,0.0,-110.0,110.0,0.0,0.0
DoFinance,EUR,2018-07-15,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-07-16,0.0,-40.0,40.0,0.0,0.0
DoFinance,EUR,2018-07-17,0.0,-120.0,120.0,0.0,0.0
DoFinance,EUR,2018-07-18,0.0,-50.0,50.0,0.0,0.0
DoFinance,EUR,2018-07-19,0.0,-140.0,140.0,0.0,0.0
DoFinance,EUR,2018-07-20,0.0,-160.0,160.0,0.0,0.0
DoFinance,EUR,2018-07-21,0.0,-300.0,300.0,0.0,0.0
DoFinance,EUR,2018-07-22,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-07-23,0.0,-20.0,1070.0,62.39,62.39
DoFinance,EUR,2018-07-24,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-07-25,-1112.89,-120.0,130.0,0.59,0.59
DoFinance,EUR,2018-07-26,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-07-27,0.0,-100.0,100.0,0.0,0.0
DoFinance,EUR,2018-07-28,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-07-29,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-07-30,0.0,0.0,1000.0,59.39,59.39
DoFinance,EUR,2018-07-31,0.0,-40.0,40.0,0.0,0.0
DoFinance,EUR,2018-08-01,0.0,-10.0,20.0,0.6,0.6
DoFinance,EUR,2018-08-02,-1080.58,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-08-03,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-08-04,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-08-05,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-08-06,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-08-08,0.0,-20.0,20.0,0.0,0.0
DoFinance,EUR,2018-08-09,0.0,-30.0,30.0,0.0,0.0
DoFinance,EUR,2018-08-10,0.0,-40.0,40.0,0.0,0.0
DoFinance,EUR,2018-08-11,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-08-14,0.0,-50.0,50.0,0.0,0.0
DoFinance,EUR,2018-08-15,0.0,-10.0,10.0,0.0,0.0
DoFinance,EUR,2018-08-17,0.0,-60.0,60.0,0.0,0.0
DoFinance,EUR,2018-08-18,0.0,-80.0,80.0,0.0,0.0
DoFinance,EUR,2018-08-19,0.0,0.0,1000.0,59.45,59.45
DoFinance,EUR,2018-08-21,0.0,0.0,10.0,0.6,0.6
DoFinance,EUR,2018-08-22,-1070.05,0.0,0.0,0.0,0.0
